"","x"
"ENSG00000002726","AOC1"
"ENSG00000002746","HECW1"
"ENSG00000004776","HSPB6"
"ENSG00000004799","PDK4"
"ENSG00000004838","ZMYND10"
"ENSG00000007402","CACNA2D2"
"ENSG00000008300","CELSR3"
"ENSG00000010319","SEMA3G"
"ENSG00000011201","ANOS1"
"ENSG00000011426","ANLN"
"ENSG00000019102","VSIG2"
"ENSG00000019169","MARCO"
"ENSG00000022267","FHL1"
"ENSG00000024526","DEPDC1"
"ENSG00000025423","HSD17B6"
"ENSG00000029993","HMGB3"
"ENSG00000034239","EFCAB1"
"ENSG00000035499","DEPDC1B"
"ENSG00000043039","BARX2"
"ENSG00000047457","CP"
"ENSG00000049283","EPN3"
"ENSG00000051341","POLQ"
"ENSG00000055813","CCDC85A"
"ENSG00000058335","RASGRF1"
"ENSG00000061656","SPAG4"
"ENSG00000062038","CDH3"
"ENSG00000065328","MCM10"
"ENSG00000065618","COL17A1"
"ENSG00000066248","NGEF"
"ENSG00000066279","ASPM"
"ENSG00000066405","CLDN18"
"ENSG00000069702","TGFBR3"
"ENSG00000071909","MYO3B"
"ENSG00000072163","LIMS2"
"ENSG00000072571","HMMR"
"ENSG00000074211","PPP2R2C"
"ENSG00000075218","GTSE1"
"ENSG00000076382","SPAG5"
"ENSG00000077152","UBE2T"
"ENSG00000077522","ACTN2"
"ENSG00000078081","LAMP3"
"ENSG00000080986","NDC80"
"ENSG00000085552","IGSF9"
"ENSG00000085840","ORC1"
"ENSG00000085999","RAD54L"
"ENSG00000088325","TPX2"
"ENSG00000088340","FER1L4"
"ENSG00000088882","CPXM1"
"ENSG00000089250","NOS1"
"ENSG00000089685","BIRC5"
"ENSG00000090530","P3H2"
"ENSG00000090889","KIF4A"
"ENSG00000091651","ORC6"
"ENSG00000091844","RGS17"
"ENSG00000092051","JPH4"
"ENSG00000092295","TGM1"
"ENSG00000092607","TBX15"
"ENSG00000092853","CLSPN"
"ENSG00000093009","CDC45"
"ENSG00000094804","CDC6"
"ENSG00000094963","FMO2"
"ENSG00000095713","CRTAC1"
"ENSG00000099953","MMP11"
"ENSG00000099994","SUSD2"
"ENSG00000100473","COCH"
"ENSG00000100526","CDKN3"
"ENSG00000100558","PLEK2"
"ENSG00000101003","GINS1"
"ENSG00000101057","MYBL2"
"ENSG00000101162","TUBB1"
"ENSG00000101210","EEF1A2"
"ENSG00000101307","SIRPB1"
"ENSG00000101311","FERMT1"
"ENSG00000101331","CCM2L"
"ENSG00000101938","CHRDL1"
"ENSG00000102384","CENPI"
"ENSG00000102683","SGCG"
"ENSG00000102760","RGCC"
"ENSG00000104059","FAM189A1"
"ENSG00000104140","RHOV"
"ENSG00000104415","CCN4"
"ENSG00000104783","KCNN4"
"ENSG00000105173","CCNE1"
"ENSG00000105227","PRX"
"ENSG00000105388","CEACAM5"
"ENSG00000105613","MAST1"
"ENSG00000105664","COMP"
"ENSG00000105974","CAV1"
"ENSG00000106089","STX1A"
"ENSG00000106327","TFR2"
"ENSG00000106809","OGN"
"ENSG00000107742","SPOCK2"
"ENSG00000108176","DNAJC12"
"ENSG00000108381","ASPA"
"ENSG00000108576","SLC6A4"
"ENSG00000108821","COL1A1"
"ENSG00000109674","NEIL3"
"ENSG00000109805","NCAPG"
"ENSG00000109906","ZBTB16"
"ENSG00000110492","MDK"
"ENSG00000110786","PTPN5"
"ENSG00000111052","LIN7A"
"ENSG00000111206","FOXM1"
"ENSG00000111339","ART4"
"ENSG00000111344","RASAL1"
"ENSG00000111665","CDCA3"
"ENSG00000111834","RSPH4A"
"ENSG00000112214","FHL5"
"ENSG00000112742","TTK"
"ENSG00000112782","CLIC5"
"ENSG00000112984","KIF20A"
"ENSG00000113303","BTNL8"
"ENSG00000114200","BCHE"
"ENSG00000114378","HYAL1"
"ENSG00000114631","PODXL2"
"ENSG00000114654","EFCC1"
"ENSG00000114790","ARHGEF26"
"ENSG00000114812","VIPR1"
"ENSG00000114854","TNNC1"
"ENSG00000115163","CENPA"
"ENSG00000115361","ACADL"
"ENSG00000115602","IL1RL1"
"ENSG00000115641","FHL2"
"ENSG00000116016","EPAS1"
"ENSG00000116194","ANGPTL1"
"ENSG00000116690","PRG4"
"ENSG00000116771","AGMAT"
"ENSG00000117322","CR2"
"ENSG00000117394","SLC2A1"
"ENSG00000117399","CDC20"
"ENSG00000117650","NEK2"
"ENSG00000117724","CENPF"
"ENSG00000117834","SLC5A9"
"ENSG00000117983","MUC5B"
"ENSG00000118193","KIF14"
"ENSG00000118322","ATP10B"
"ENSG00000118526","TCF21"
"ENSG00000118785","SPP1"
"ENSG00000119457","SLC46A2"
"ENSG00000120156","TEK"
"ENSG00000121152","NCAPH"
"ENSG00000121211","MND1"
"ENSG00000122679","RAMP3"
"ENSG00000122852","SFTPA1"
"ENSG00000123119","NECAB1"
"ENSG00000123473","STIL"
"ENSG00000123485","HJURP"
"ENSG00000123500","COL10A1"
"ENSG00000123572","NRK"
"ENSG00000123838","C4BPA"
"ENSG00000124116","WFDC3"
"ENSG00000124466","LYPD3"
"ENSG00000124664","SPDEF"
"ENSG00000124920","MYRF"
"ENSG00000125740","FOSB"
"ENSG00000126787","DLGAP5"
"ENSG00000126895","AVPR2"
"ENSG00000127241","MASP1"
"ENSG00000127564","PKMYT1"
"ENSG00000128165","ADM2"
"ENSG00000128268","MGAT3"
"ENSG00000128536","CDHR3"
"ENSG00000129048","ACKR4"
"ENSG00000129173","E2F8"
"ENSG00000129195","PIMREG"
"ENSG00000129451","KLK10"
"ENSG00000129596","CDO1"
"ENSG00000129810","SGO1"
"ENSG00000130518","IQCN"
"ENSG00000131097","HIGD1B"
"ENSG00000131153","GINS2"
"ENSG00000131477","RAMP2"
"ENSG00000131746","TNS4"
"ENSG00000131747","TOP2A"
"ENSG00000132622","HSPA12B"
"ENSG00000133116","KL"
"ENSG00000133401","PDZD2"
"ENSG00000133661","SFTPD"
"ENSG00000133800","LYVE1"
"ENSG00000134020","PEBP4"
"ENSG00000134057","CCNB1"
"ENSG00000134115","CNTN6"
"ENSG00000134256","CD101"
"ENSG00000134690","CDCA8"
"ENSG00000134917","ADAMTS8"
"ENSG00000134962","KLB"
"ENSG00000135052","GOLM1"
"ENSG00000135063","FAM189A2"
"ENSG00000135069","PSAT1"
"ENSG00000135218","CD36"
"ENSG00000135451","TROAP"
"ENSG00000135476","ESPL1"
"ENSG00000135604","STX11"
"ENSG00000135917","SLC19A3"
"ENSG00000136160","EDNRB"
"ENSG00000136231","IGF2BP3"
"ENSG00000136492","BRIP1"
"ENSG00000137203","TFAP2A"
"ENSG00000137571","SLCO5A1"
"ENSG00000137573","SULF1"
"ENSG00000137648","TMPRSS4"
"ENSG00000137804","NUSAP1"
"ENSG00000137809","ITGA11"
"ENSG00000137812","KNL1"
"ENSG00000137825","ITPKA"
"ENSG00000137857","DUOX1"
"ENSG00000137868","STRA6"
"ENSG00000138028","CGREF1"
"ENSG00000138160","KIF11"
"ENSG00000138180","CEP55"
"ENSG00000138207","RBP4"
"ENSG00000138316","ADAMTS14"
"ENSG00000138669","PRKG2"
"ENSG00000138778","CENPE"
"ENSG00000139874","SSTR1"
"ENSG00000140254","DUOXA1"
"ENSG00000140297","GCNT3"
"ENSG00000140534","TICRR"
"ENSG00000141338","ABCA8"
"ENSG00000141449","GREB1L"
"ENSG00000141469","SLC14A1"
"ENSG00000141527","CARD14"
"ENSG00000141934","PLPP2"
"ENSG00000142273","CBLC"
"ENSG00000142583","SLC2A5"
"ENSG00000142748","FCN3"
"ENSG00000142945","KIF2C"
"ENSG00000142973","CYP4B1"
"ENSG00000143167","GPA33"
"ENSG00000143228","NUF2"
"ENSG00000143297","FCRL5"
"ENSG00000143320","CRABP2"
"ENSG00000143590","EFNA3"
"ENSG00000144218","AFF3"
"ENSG00000144278","GALNT13"
"ENSG00000144331","ZNF385B"
"ENSG00000144354","CDCA7"
"ENSG00000144452","ABCA12"
"ENSG00000144891","AGTR1"
"ENSG00000145386","CCNA2"
"ENSG00000145536","ADAMTS16"
"ENSG00000146166","LGSN"
"ENSG00000146670","CDCA5"
"ENSG00000147206","NXF3"
"ENSG00000147257","GPC3"
"ENSG00000147655","RSPO2"
"ENSG00000148053","NTRK2"
"ENSG00000148344","PTGES"
"ENSG00000148488","ST8SIA6"
"ENSG00000148677","ANKRD1"
"ENSG00000148773","MKI67"
"ENSG00000148848","ADAM12"
"ENSG00000149021","SCGB1A1"
"ENSG00000149403","GRIK4"
"ENSG00000150551","LYPD1"
"ENSG00000150625","GPM6A"
"ENSG00000151012","SLC7A11"
"ENSG00000152580","IGSF10"
"ENSG00000152766","ANKRD22"
"ENSG00000153093","ACOXL"
"ENSG00000154040","CABYR"
"ENSG00000154065","ANKRD29"
"ENSG00000154133","ROBO4"
"ENSG00000154175","ABI3BP"
"ENSG00000154764","WNT7A"
"ENSG00000154839","SKA1"
"ENSG00000155511","GRIA1"
"ENSG00000156298","TSPAN7"
"ENSG00000156970","BUB1B"
"ENSG00000157152","SYN2"
"ENSG00000157456","CCNB2"
"ENSG00000157927","RADIL"
"ENSG00000158089","GALNT14"
"ENSG00000158125","XDH"
"ENSG00000158246","TENT5B"
"ENSG00000158315","RHBDL2"
"ENSG00000158402","CDC25C"
"ENSG00000159307","SCUBE1"
"ENSG00000159708","LRRC36"
"ENSG00000159713","TPPP3"
"ENSG00000160161","CILP2"
"ENSG00000160867","FGFR4"
"ENSG00000161055","SCGB3A1"
"ENSG00000161888","SPC24"
"ENSG00000161905","ALOX15"
"ENSG00000162062","TEDC2"
"ENSG00000162367","TAL1"
"ENSG00000162687","KCNT2"
"ENSG00000162722","TRIM58"
"ENSG00000162849","KIF26B"
"ENSG00000163492","CCDC141"
"ENSG00000163687","DNASE1L3"
"ENSG00000163710","PCOLCE2"
"ENSG00000163808","KIF15"
"ENSG00000163815","CLEC3B"
"ENSG00000163827","LRRC2"
"ENSG00000163993","S100P"
"ENSG00000164035","EMCN"
"ENSG00000164161","HHIP"
"ENSG00000164265","SCGB3A2"
"ENSG00000164530","PI16"
"ENSG00000164619","BMPER"
"ENSG00000164647","STEAP1"
"ENSG00000164694","FNDC1"
"ENSG00000164764","SBSPON"
"ENSG00000164855","TMEM184A"
"ENSG00000164932","CTHRC1"
"ENSG00000164972","C9orf24"
"ENSG00000165072","MAMDC2"
"ENSG00000165197","VEGFD"
"ENSG00000165304","MELK"
"ENSG00000165474","GJB2"
"ENSG00000165480","SKA3"
"ENSG00000165548","TMEM63C"
"ENSG00000165810","BTNL9"
"ENSG00000166123","GPT2"
"ENSG00000166292","TMEM100"
"ENSG00000166317","SYNPO2L"
"ENSG00000166482","MFAP4"
"ENSG00000166546","BEAN1"
"ENSG00000166596","CFAP52"
"ENSG00000166803","PCLAF"
"ENSG00000166851","PLK1"
"ENSG00000166920","C15orf48"
"ENSG00000166923","GREM1"
"ENSG00000167588","GPD1"
"ENSG00000167874","TMEM88"
"ENSG00000167964","RAB26"
"ENSG00000167972","ABCA3"
"ENSG00000168078","PBK"
"ENSG00000168243","GNG4"
"ENSG00000168309","FAM107A"
"ENSG00000168477","TNXB"
"ENSG00000168484","SFTPC"
"ENSG00000168497","CAVIN2"
"ENSG00000168542","COL3A1"
"ENSG00000168874","ATOH8"
"ENSG00000168878","SFTPB"
"ENSG00000168907","PLA2G4F"
"ENSG00000168952","STXBP6"
"ENSG00000169031","COL4A3"
"ENSG00000169252","ADRB2"
"ENSG00000169258","GPRIN1"
"ENSG00000169418","NPR1"
"ENSG00000169436","COL22A1"
"ENSG00000169442","CD52"
"ENSG00000169583","CLIC3"
"ENSG00000169607","CKAP2L"
"ENSG00000169679","BUB1"
"ENSG00000169684","CHRNA5"
"ENSG00000169994","MYO7B"
"ENSG00000170323","FABP4"
"ENSG00000170477","KRT4"
"ENSG00000170509","HSD17B13"
"ENSG00000170561","IRX2"
"ENSG00000170989","S1PR1"
"ENSG00000171004","HS6ST2"
"ENSG00000171049","FPR2"
"ENSG00000171056","SOX7"
"ENSG00000171303","KCNK3"
"ENSG00000171320","ESCO2"
"ENSG00000171509","RXFP1"
"ENSG00000171631","P2RY6"
"ENSG00000171848","RRM2"
"ENSG00000171877","FRMD5"
"ENSG00000172031","EPHX4"
"ENSG00000172061","LRRC15"
"ENSG00000172987","HPSE2"
"ENSG00000173114","LRRN3"
"ENSG00000173227","SYT12"
"ENSG00000173391","OLR1"
"ENSG00000173702","MUC13"
"ENSG00000174326","SLC16A11"
"ENSG00000174371","EXO1"
"ENSG00000174837","ADGRE1"
"ENSG00000175063","UBE2C"
"ENSG00000175084","DES"
"ENSG00000175445","LPL"
"ENSG00000175832","ETV4"
"ENSG00000176153","GPX2"
"ENSG00000176697","BDNF"
"ENSG00000176771","NCKAP5"
"ENSG00000176912","TYMSOS"
"ENSG00000176920","FUT2"
"ENSG00000177098","SCN4B"
"ENSG00000177453","NIM1K"
"ENSG00000178401","DNAJC22"
"ENSG00000178568","ERBB4"
"ENSG00000178773","CPNE7"
"ENSG00000178826","TMEM139"
"ENSG00000178999","AURKB"
"ENSG00000179913","B3GNT3"
"ENSG00000180537","RNF182"
"ENSG00000181143","MUC16"
"ENSG00000181409","AATK"
"ENSG00000182010","RTKN2"
"ENSG00000183010","PYCR1"
"ENSG00000183019","MCEMP1"
"ENSG00000183287","CCBE1"
"ENSG00000183317","EPHA10"
"ENSG00000183346","CABCOCO1"
"ENSG00000183379","SYNDIG1L"
"ENSG00000183856","IQGAP3"
"ENSG00000184113","CLDN5"
"ENSG00000184347","SLIT3"
"ENSG00000184368","MAP7D2"
"ENSG00000184661","CDCA2"
"ENSG00000185303","SFTPA2"
"ENSG00000186185","KIF18B"
"ENSG00000186188","FFAR4"
"ENSG00000186193","SAPCD2"
"ENSG00000186198","SLC51B"
"ENSG00000186340","THBS2"
"ENSG00000186417","GLDN"
"ENSG00000186493","C5orf38"
"ENSG00000186603","HPDL"
"ENSG00000186710","CFAP73"
"ENSG00000186871","ERCC6L"
"ENSG00000186994","KANK3"
"ENSG00000187323","DCC"
"ENSG00000187583","PLEKHN1"
"ENSG00000187642","PERM1"
"ENSG00000188536","HBA2"
"ENSG00000188761","BCL2L15"
"ENSG00000188766","SPRED3"
"ENSG00000188906","LRRK2"
"ENSG00000189057","FAM111B"
"ENSG00000189129","PLAC9"
"ENSG00000189292","ALKAL2"
"ENSG00000196353","CPNE4"
"ENSG00000196549","MME"
"ENSG00000196584","XRCC2"
"ENSG00000196616","ADH1B"
"ENSG00000197415","VEPH1"
"ENSG00000197766","CFD"
"ENSG00000198125","MB"
"ENSG00000198535","C2CD4A"
"ENSG00000198753","PLXNB3"
"ENSG00000198848","CES1"
"ENSG00000198873","GRK5"
"ENSG00000204175","GPRIN2"
"ENSG00000204305","AGER"
"ENSG00000205002","AARD"
"ENSG00000205213","LGR4"
"ENSG00000205364","MT1M"
"ENSG00000206384","COL6A6"
"ENSG00000211448","DIO2"
"ENSG00000211892","IGHG4"
"ENSG00000211896","IGHG1"
"ENSG00000211950","IGHV1-24"
"ENSG00000213088","ACKR1"
"ENSG00000213420","GPC2"
"ENSG00000213853","EMP2"
"ENSG00000214491","SEC14L6"
"ENSG00000214708","not available"
"ENSG00000215595","C20orf202"
"ENSG00000223573","TINCR"
"ENSG00000224397","PELATON"
"ENSG00000225342","LRRK2-DT"
"ENSG00000225383","SFTA1P"
"ENSG00000227036","LINC00511"
"ENSG00000227051","C14orf132"
"ENSG00000227544","not available"
"ENSG00000234281","LANCL1-AS1"
"ENSG00000235387","SPAAR"
"ENSG00000236304","not available"
"ENSG00000237517","DGCR5"
"ENSG00000238018","not available"
"ENSG00000241158","ADAMTS9-AS1"
"ENSG00000241644","INMT"
"ENSG00000242715","CCDC169"
"ENSG00000243566","UPK3B"
"ENSG00000244734","HBB"
"ENSG00000253755","IGHGP"
"ENSG00000254726","MEX3A"
"ENSG00000256612","CYP2B7P"
"ENSG00000257894","not available"
"ENSG00000259153","not available"
"ENSG00000261373","VPS9D1-AS1"
"ENSG00000262406","MMP12"
"ENSG00000263155","MYZAP"
"ENSG00000266524","GDF10"
"ENSG00000266964","FXYD1"
"ENSG00000268388","FENDRR"
"ENSG00000271447","MMP28"
"ENSG00000272405","not available"
"ENSG00000272620","AFAP1-AS1"
"ENSG00000274736","CCL23"
"ENSG00000276043","UHRF1"
"ENSG00000276170","not available"
"ENSG00000276644","DACH1"
"ENSG00000277494","GPIHBP1"
"ENSG00000277758","not available"
"ENSG00000279662","not available"
